ID	Discrete1	Discrete2	Discrete3	Discrete4	Discrete5	Discrete6	Discrete7	Discrete8	Discrete9	Discrete10	Numeric1	Numeric2	Numeric3	Numeric4	Numeric5	Numeric6	Numeric7	Numeric8	Numeric9	Numeric10	Numeric11	Numeric12	Numeric13	Numeric14	Numeric15	Numeric16	Numeric17	Numeric18	Numeric19	Numeric20	Numeric21	Numeric22	Numeric23	Numeric24	Numeric25	Numeric26	Numeric27	Numeric28	Numeric29	Numeric30	Numeric31	Numeric32	Numeric33	Numeric34	Numeric35	Numeric36	Numeric37	Numeric38	Numeric39	Numeric40	Numeric41	Numeric42	Numeric43	Numeric44	Numeric45	Numeric46	Numeric47	Numeric48	Numeric49	Numeric50	Numeric51	Numeric52	Numeric53	Numeric54	Numeric55	Numeric56	Numeric57	Numeric58	Numeric59	Numeric60	Numeric61	Numeric62	Numeric63	Numeric64	Numeric65	Numeric66	Numeric67	Numeric68	Numeric69	Numeric70	Numeric71	Numeric72	Numeric73	Numeric74	Numeric75	Numeric76	Numeric77	Numeric78	Numeric79	Numeric80	Numeric81	Numeric82	Numeric83	Numeric84	Numeric85	Numeric86	Numeric87	Numeric88	Numeric89	Numeric90
Row1	MY	NB	IQ	PM	ZJ	PL	SG	QE	JE	YD	0.61836900	0.25050634	0.90974626	0.98278548	0.81021724	0.90216595	0.31014757	0.72983175	0.89883829	0.68398393	0.47214272	0.10070121	0.43417184	0.61088697	0.91301105	0.96660637	0.47700978	0.86530993	0.26049231	0.80502783	0.54869930	0.01404170	0.71970469	0.39882354	0.82484498	0.66815320	0.00114282	0.49357787	0.86760278	0.24391088	0.32520436	0.87047123	0.19106709	0.56751074	0.23861593	0.96754025	0.80317947	0.44796957	0.08044582	0.32005460	0.50794064	0.93283382	0.10905785	0.55126725	0.70656141	0.54744091	0.81446686	0.54028361	0.96383855	0.60318563	0.58761706	0.44498903	0.59628686	0.38490115	0.57565101	0.29032950	0.18939133	0.18672953	0.61277318	0.65665939	0.47653099	0.08982436	0.75760392	0.87677037	0.92338102	0.84246022	0.89817312	0.92308244	0.54059992	0.39129605	0.70528340	0.27563412	0.81162871	0.84948597	0.89503897	0.58980118	0.94976487	0.57969501	0.45056311	0.66024538	0.99625784	0.91694122	0.79332508	0.08237299	0.61278311	0.48644420	0.63014734	0.84507758	0.24303562	0.73148922
Row2	DW	HL	ZF	KN	BD	ZE	WH	BS	UR	TV	0.07399689	0.12444372	0.18852062	0.83008613	0.11969547	0.09153185	0.83384443	0.11604614	0.60550417	0.19459096	0.97069191	0.71811333	0.47923365	0.72715523	0.06108490	0.67934719	0.54423541	0.62059997	0.83590266	0.07000430	0.07197169	0.30106154	0.43606865	0.06104244	0.46713123	0.59648492	0.69932313	0.39127620	0.26013325	0.90439863	0.47021616	0.90230423	0.56976854	0.69769707	0.20341469	0.76734834	0.78864829	0.15820863	0.16195407	0.52947422	0.11721284	0.92141839	0.66560582	0.01320376	0.68128068	0.90009805	0.87480469	0.91751112	0.64893349	0.38864224	0.65761620	0.15341277	0.69082276	0.45795420	0.07907379	0.73901612	0.54431950	0.13483761	0.76216666	0.48182708	0.61013565	0.67340346	0.59027769	0.89194354	0.85377438	0.13234428	0.31029758	0.74848588	0.82890277	0.08072311	0.59457693	0.69858269	0.16007978	0.22309782	0.44813533	0.71034998	0.67377520	0.87453765	0.03154548	0.87168819	0.56747234	0.77218572	0.70900603	0.16567497	0.06388631	0.70151617	0.44636471	0.88494551	0.90803986	0.60397739
Row3	AB	PK	JO	BZ	ZN	GR	UC	XE	AM	VN	0.31617714	0.21352466	0.71732414	0.00235756	0.82273141	0.52834598	0.09778434	0.11890389	0.64926542	0.87365382	0.27998274	0.97851519	0.10018069	0.85393811	0.39669618	0.08134542	0.27471384	0.45297818	0.79234153	0.86135990	0.13342055	0.52086553	0.65078324	0.34705301	0.87186384	0.27840982	0.01857433	0.04066327	0.68099677	0.55835574	0.94650255	0.93843880	0.90985118	0.04200453	0.74913482	0.70132482	0.65536186	0.71235765	0.90271015	0.64014120	0.37244926	0.53792878	0.20784410	0.58712550	0.00889708	0.15102317	0.33340839	0.78962316	0.71849942	0.33825597	0.62053811	0.04120295	0.16386055	0.98191407	0.28953085	0.39479198	0.54848430	0.29340700	0.47806467	0.23970608	0.04825636	0.17958685	0.52305023	0.07086288	0.40316915	0.32852071	0.41472161	0.09940034	0.90865755	0.47400465	0.84084833	0.97622946	0.34365159	0.47908652	0.69959529	0.42653532	0.30190312	0.73475099	0.89439978	0.91968884	0.62674205	0.37557135	0.97456052	0.63887852	0.06583468	0.08466957	0.74986957	0.06115616	0.00785101	0.39380795
Row4	QJ	OP	ZS	WV	GN	CL	HI	SY	FN	GL	0.11501240	0.82198069	0.85285869	0.02761895	0.52581571	0.75243840	0.20168792	0.49708747	0.25647967	0.64099727	0.99704049	0.79743321	0.62341508	0.10462969	0.45840805	0.36164210	0.82698659	0.10474628	0.59624048	0.48790141	0.56390412	0.63836355	0.42323888	0.52122864	0.67931837	0.88778188	0.83353350	0.99818305	0.63506479	0.87469901	0.54280907	0.93131340	0.00970466	0.70559373	0.74703889	0.31825944	0.32182489	0.52510738	0.87448326	0.60258671	0.15590536	0.37900511	0.29438235	0.70637321	0.47043138	0.79994582	0.51652780	0.91551427	0.06635469	0.13049415	0.30044829	0.75889873	0.44858910	0.86190339	0.80064545	0.86869551	0.46073510	0.37132187	0.38223256	0.52980766	0.03361801	0.09064689	0.79414516	0.51799836	0.60014229	0.07635811	0.42636668	0.75461827	0.28966414	0.90113872	0.41784065	0.97254851	0.84549198	0.97223380	0.60742991	0.23357110	0.86477674	0.02048179	0.88525505	0.74074540	0.30244205	0.57026664	0.33268581	0.49351002	0.26200753	0.82502034	0.77248016	0.38415973	0.38367943	0.16379542
Row5	EH	JX	KB	BP	NE	PT	WC	VW	EZ	LN	0.03517979	0.46627896	0.45888233	0.10148051	0.77814835	0.02022807	0.59830026	0.13270195	0.32391135	0.70007969	0.64899226	0.19497362	0.78341697	0.77746099	0.11099692	0.06016083	0.70081742	0.61433084	0.93391552	0.65047218	0.96948542	0.71361689	0.29638639	0.84913156	0.95846908	0.38764569	0.29380353	0.74578410	0.95754687	0.98339808	0.12155240	0.86043218	0.99584113	0.03818441	0.39202639	0.37158164	0.19047756	0.35655381	0.63201341	0.95649754	0.90192752	0.03998068	0.25538633	0.02665600	0.52006318	0.56925676	0.87587729	0.22965524	0.77634264	0.88468605	0.62742776	0.50241286	0.52371154	0.50710672	0.94548555	0.14569042	0.89184211	0.42205652	0.08403206	0.10476462	0.06292283	0.41516145	0.15615697	0.95455384	0.79134285	0.43108631	0.41701951	0.49662477	0.86405767	0.32449913	0.25258593	0.35250302	0.12137800	0.69177515	0.34544511	0.17790766	0.83027005	0.23049354	0.36580247	0.59658904	0.14329114	0.00323210	0.65901849	0.73210148	0.90090394	0.74797682	0.29326295	0.68946648	0.93278803	0.23286310
Row6	EF	OD	PL	WI	EA	GL	KP	JJ	RU	KF	0.59301940	0.08080901	0.53322788	0.30776250	0.37658893	0.14692686	0.12523600	0.22281742	0.50833245	0.23665719	0.18394442	0.37246193	0.66319551	0.86097460	0.60120822	0.39380117	0.70216952	0.13202028	0.29938666	0.41674933	0.92639640	0.59107652	0.29802811	0.35456412	0.24805850	0.63277900	0.63704451	0.52920730	0.37643175	0.00842761	0.96195656	0.90126233	0.44129738	0.37159658	0.95234093	0.09105649	0.18545820	0.10861527	0.11215874	0.60554586	0.15387884	0.70259809	0.92826821	0.18538069	0.42170431	0.17473720	0.95953229	0.34038790	0.52334865	0.35536745	0.63151692	0.08649940	0.75503507	0.29472832	0.83017377	0.44908838	0.46201085	0.21873418	0.11445723	0.97880251	0.30115897	0.60916053	0.42420907	0.75135250	0.09255305	0.49767960	0.96091809	0.54374082	0.40530510	0.63206560	0.02161938	0.27007840	0.66848867	0.00025321	0.39842861	0.89056181	0.70996472	0.44458455	0.74655095	0.35382203	0.87129802	0.67254739	0.19603089	0.08525924	0.07045567	0.26248679	0.53363865	0.11818482	0.85945324	0.89069892
Row7	YF	CN	JJ	QE	SQ	UG	RD	NU	RM	XY	0.90404573	0.27861460	0.44236461	0.56823294	0.13781275	0.12329822	0.12051785	0.40121654	0.46794284	0.55961315	0.29896127	0.63211147	0.74234547	0.21800996	0.48885816	0.50156716	0.49271975	0.95842256	0.44398175	0.14281143	0.49552313	0.88733523	0.21571394	0.35540136	0.39096605	0.99288350	0.84622483	0.97890660	0.68689562	0.08137291	0.94930927	0.92461905	0.39511546	0.36127832	0.11615210	0.00374037	0.27032774	0.64037324	0.29252642	0.90072588	0.14067979	0.57285033	0.19120434	0.43401891	0.71634574	0.38413015	0.33069552	0.64800496	0.68747171	0.14801929	0.93323206	0.14750072	0.31607170	0.20886609	0.18682444	0.34916721	0.98348418	0.42729021	0.49195852	0.72978314	0.79558344	0.43927204	0.20426871	0.70999701	0.90582211	0.03327924	0.63317580	0.87100937	0.36361016	0.74316281	0.67749260	0.23306417	0.29752718	0.08662966	0.86884352	0.75149211	0.77143059	0.88295169	0.41143233	0.05394002	0.69680505	0.66562965	0.64851223	0.54718162	0.73441663	0.43060451	0.45460236	0.25475222	0.47565247	0.33719426
Row8	BB	BF	LA	JU	AE	CZ	NV	HT	MR	HO	0.19284824	0.60831881	0.60635451	0.08562054	0.31903016	0.53590115	0.89347538	0.25549985	0.52199031	0.19013177	0.08011595	0.86994784	0.34574721	0.83729086	0.25127706	0.72902600	0.30132134	0.51690055	0.38467176	0.48208466	0.87197570	0.23996200	0.30581471	0.55197378	0.00920846	0.49530054	0.43819860	0.91714812	0.41212019	0.49358198	0.44010861	0.08561574	0.24114440	0.82626506	0.15379568	0.88425285	0.21346653	0.61275669	0.81800866	0.55901122	0.88660433	0.39447103	0.95891634	0.24972819	0.22005050	0.84045901	0.27899602	0.35210355	0.99466915	0.10728538	0.89962563	0.61008200	0.78903771	0.71106795	0.77746436	0.51403547	0.46207744	0.63435629	0.27254622	0.01655842	0.61487166	0.71190666	0.17257618	0.41465974	0.21806471	0.87978848	0.99714970	0.00643924	0.53552411	0.42826962	0.04977036	0.38469460	0.27248482	0.97114944	0.56466695	0.22956270	0.71654926	0.54663750	0.28216709	0.73986958	0.90156874	0.06478718	0.30751845	0.32730937	0.37319692	0.48026967	0.58206040	0.13728795	0.01549876	0.50484970
Row9	LS	UA	ZE	ME	FQ	CE	YG	ZY	PS	YW	0.96930685	0.23531586	0.13212861	0.23368957	0.38460662	0.60849908	0.13254071	0.49846595	0.91786629	0.61601677	0.02601446	0.59612561	0.48919914	0.30869925	0.95863019	0.55552245	0.16303724	0.87907855	0.80923662	0.73737153	0.54602884	0.70422408	0.07877234	0.13744428	0.40185422	0.19106663	0.31642065	0.29172814	0.94377540	0.20866341	0.31515731	0.74707211	0.24960897	0.86296273	0.66843269	0.65976950	0.22591718	0.34417171	0.16233220	0.01697652	0.57359311	0.05818298	0.63043781	0.35341956	0.49110710	0.06132305	0.24146702	0.01244123	0.94553446	0.32666788	0.82095685	0.34492851	0.66397564	0.13585073	0.92198353	0.44896685	0.14205496	0.31195183	0.64907570	0.72806424	0.78528333	0.40863069	0.00963324	0.89092386	0.53370558	0.80460053	0.98062769	0.70493469	0.75908602	0.56472847	0.12259546	0.95395336	0.17131562	0.50055427	0.62184399	0.66197654	0.84005197	0.69960159	0.07964742	0.23738047	0.82825565	0.17627382	0.94595812	0.95656443	0.89632693	0.74281173	0.83834369	0.56140878	0.71779280	0.42717727
Row10	TD	TU	OW	ET	TB	IK	ZX	XM	AU	BP	0.08961932	0.29273456	0.15080906	0.23614508	0.35580949	0.73549972	0.40471136	0.26983975	0.49231315	0.39259325	0.31076420	0.90054166	0.55044845	0.97732751	0.77291241	0.57049930	0.26244659	0.68684366	0.45591772	0.72138772	0.40377881	0.49600504	0.02068377	0.73995850	0.03427354	0.68072539	0.58200370	0.77591761	0.28977760	0.68611082	0.20709798	0.52927200	0.34028038	0.97845455	0.97186656	0.20896974	0.56603824	0.32944269	0.96853819	0.92452595	0.58614585	0.72008446	0.68132476	0.35335563	0.91636157	0.89945354	0.33065846	0.74739491	0.00909213	0.81635911	0.56486935	0.95230671	0.36319307	0.62571307	0.32300243	0.78278538	0.60070300	0.98747102	0.00101279	0.14075874	0.04360138	0.12584785	0.92938530	0.94860830	0.48041253	0.94668939	0.81838761	0.77861773	0.74728195	0.18765459	0.54887726	0.42387923	0.94978805	0.17383354	0.16985884	0.65886175	0.15740179	0.11005367	0.50392320	0.79666097	0.60504567	0.75475397	0.26575853	0.28496283	0.42870364	0.99084788	0.71791826	0.94625396	0.53787046	0.55455985
