ID	Numeric90
Row18	0.70620736
Row22	0.81392173
Row27	0.67907229
Row28	0.49498768
Row34	0.39450799
Row38	0.71553968
Row40	0.42185876
Row43	0.95029468
Row51	0.19549085
Row74	0.13537236
Row78	0.92538116
Row87	0.56423767
Row96	0.25357609
Row102	0.81228983
Row118	0.55753112
Row119	0.66817185
Row123	0.99535906
Row150	0.71339459
Row158	0.85078271
Row188	0.86320825
Row195	0.67209602
Row202	0.75684520
Row231	0.99419277
Row234	0.21210502
Row237	0.47325930
Row250	0.77722987
Row256	0.81613386
Row275	0.59167746
Row297	0.66456654
Row298	0.56321596
Row323	0.16305934
Row326	0.11339933
Row333	0.22866507
Row353	0.88602281
Row356	0.28999971
Row412	0.71922013
Row427	0.42428740
Row440	0.87274925
Row441	0.49570213
Row459	0.64453094
Row500	0.78358660
Row510	0.41006999
Row517	0.85636840
Row535	0.99438729
Row564	0.56341745
Row582	0.61171565
Row586	0.91055124
Row597	0.76933894
Row603	0.39239239
Row610	0.69817977
Row661	0.69260703
Row684	0.31132717
Row723	0.49992525
Row724	0.10950478
Row730	0.31746249
Row746	0.85109970
Row758	0.17963704
Row807	0.91540142
Row815	0.37696232
Row842	0.63900056
Row847	0.32700615
Row851	0.34090330
Row870	0.22474130
Row888	0.44058646
Row891	0.90082417
Row925	0.52966803
Row926	0.14600898
Row954	0.16333686
Row976	0.58595467
